trainer_stats = trainer.train()
Step	Training Loss
454	0.042500
455	0.038100
456	0.041800
457	0.043000
458	0.037900
459	0.038700
460	0.036200
461	0.036500
462	0.035300
463	0.036800
464	0.037300
465	0.036200
466	0.034800
467	0.037700
468	0.040300
469	0.036600
470	0.039100
471	0.035900
472	0.038400
473	0.038600
474	0.046300
475	0.040000
476	0.045300
477	0.034300
478	0.036700
479	0.036800
480	0.034200
481	0.036800
482	0.038500
483	0.036300
484	0.037900
485	0.043400
486	0.045600
487	0.037800
488	0.040400
489	0.039600
490	0.039600
491	0.038900
492	0.038800
493	0.042500
494	0.038200
495	0.034500
496	0.036100
497	0.037600
498	0.039300
499	0.036500
500	0.039500
501	0.036000
502	0.037200
503	0.038400
504	0.039400
505	0.043800
506	0.039700
507	0.039000
508	0.055400
509	0.044300
510	0.043600
511	0.042200
512	0.033700
513	0.035400
514	0.036600
515	0.039500
516	0.038900
517	0.038700
518	0.037100
519	0.038900
520	0.038200
521	0.036500
522	0.037300
523	0.043100
524	0.039200
525	0.040600
526	0.036100
527	0.035600
528	0.034400
529	0.035900
530	0.037900
531	0.036000
532	0.035900
533	0.038200
534	0.037500
535	0.036600
536	0.038300
537	0.037900
538	0.038300
539	0.037300
540	0.040200
541	0.038700
542	0.039600
543	0.038800
544	0.039900
545	0.035300
546	0.036300
547	0.036400
548	0.036000
549	0.035100
550	0.034500
551	0.036000
552	0.036300
553	0.042800
554	0.037700
555	0.043400
556	0.037000
557	0.038100
558	0.037700
559	0.036900
560	0.040900
561	0.037500
562	0.037000
563	0.033700
564	0.032600
565	0.037300
566	0.036300
567	0.035700
568	0.036200
569	0.040200
570	0.036700
571	0.037400
572	0.037600
573	0.041800
574	0.037700
575	0.037800
576	0.039900
577	0.040100
578	0.034000
579	0.035700
580	0.036400
581	0.035500
582	0.034500
583	0.035900
584	0.036300
585	0.036400
586	0.035800
587	0.035100
588	0.035900
589	0.038500
590	0.037600
591	0.035700
592	0.041200
593	0.039100
594	0.036000
595	0.035800
596	0.033000
597	0.034000
598	0.036200
599	0.037900
600	0.035700
601	0.035200
602	0.035400
603	0.035700
604	0.036600
605	0.036100
606	0.035900
607	0.038600
608	0.040500
609	0.038700
610	0.039600
611	0.036300
612	0.036100
613	0.037300
614	0.033200
615	0.037700
616	0.035100
617	0.035000
618	0.037100
619	0.034900
620	0.037000
621	0.036100
622	0.035700
623	0.037400
624	0.040000
625	0.037200
626	0.036100
627	0.037300
628	0.041200
629	0.034400
630	0.035300
631	0.033200
632	0.036300
633	0.038000
634	0.034200
635	0.034000
636	0.036800
637	0.035100
638	0.035400
639	0.036300
640	0.038200
641	0.034500
642	0.038600
643	0.035600
644	0.039800
645	0.040000
646	0.044000
647	0.035200
648	0.036900
649	0.034900
650	0.034900
651	0.035100
